,Unnamed: 0,Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
0,0,3703080,3703080,,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,788947200000,6.1158343887,22017.003799315,13680.5099440799,0.4194825299,163.1787109375,62753692.0,38993336.0,17,5,0.0252819,4.634,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,,,0.808258932678493,57.25746987539545,2.005763672747459,,264.8375332988031,0.5905513880204395,True
1,1,3723955,3723955,21.3,0.1460679643,0.3266178974,146.0679642714,326.6178974458,0.090762397,0.2029508896,479.2256199,1071.581062656,788947200000,18.1139850263,65210.3460948409,40519.1731054305,0.3830144627,148.9926300049,57298148.0,35603420.0,21,3,0.186935,5.457,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.8692942066788,0.7181996160227876,313.0919748302692,1.497352292852652,2457794.969431285,173.7411119891742,0.8453297875598617,False
2,2,2446862,2446862,20.3,0.2315021222,0.5176544822,231.5021222103,517.6544821978,0.1438487052,0.3216554833,759.5214226325,1698.3415313737,789552000000,7.5907111617,27326.5601819679,16979.6617975122,0.0509560159,19.8218898773,7622911.5,4736657.5,22,0,0.0430579,4.557,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,643.580228077368,0.950790956866954,248.4150381128607,1.966856672082667,2458120.4675489054,292.8936537794408,0.5593708201314143,True
3,3,3092506,3092506,27.4,0.0088014652,0.0196806745,8.801465209,19.6806745089,0.0054689752,0.0122290004,28.8761991163,64.5691441559,790156800000,11.1738744976,40225.948191338,24994.8398636678,0.2853223297,110.9903869629,42683616.0,26522368.0,7,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.70770087172089,1.527904212254787,2457902.3374338527,68.74100661777578,0.7002771964497434,False
4,4,3514799,3514799,21.6,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.1767628354,417.3880663071,933.3080892598,790156800000,9.8408310539,35426.9917941048,22012.9549845092,0.4078321707,158.6467132568,61010824.0,37910368.0,25,1,0.034798,5.154,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,495.597820944911,0.9676866361064762,158.2635960713293,1.483542837130177,2457814.455148689,135.1421326756292,0.7263954456329549,True
5,5,3671135,3671135,19.6,0.3195618867,0.7145621017,319.5618867213,714.5621017269,0.1985664891,0.4440081677,1048.4314204307,2344.3639258298,790156800000,10.8088439585,38911.83825064,24178.3030507935,0.3927847844,152.7932739258,58759768.0,36511628.0,40,1,0.272213,4.724,2458000.5,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,556.1605558442809,0.5777997876790363,198.1459691510273,2.069264572262516,2458009.402634515,354.2373683433312,0.6472950953048102,False
6,6,2495323,2495323,19.6,0.3195618867,0.7145621017,319.5618867213,714.5621017269,0.1985664891,0.4440081677,1048.4314204307,2344.3639258298,790156800000,10.8088415879,38911.829716462,24178.2977479872,0.392783196,152.7926635742,58759532.0,36511480.0,43,1,0.272213,4.724,2458000.5,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.1459598526758,2.069264592520325,2458009.402591357,354.237396160877,0.6472951085146458,False
7,7,2153315,2153315,19.2,0.3841978911,0.8590926012,384.1978910643,859.0926012318,0.2387294278,0.5338152287,1260.4918089193,2818.5453698252,790761600000,24.4218839949,87918.7823817199,54629.3123082415,0.1291791611,50.2506942749,19324928.0,12007954.0,22,0,0.0987582,4.921,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,502.8087578997973,0.6809045288785588,288.3746511156045,1.794044543719008,2458242.439098669,186.7769322776995,0.7159779823718642,False
8,8,2162463,2162463,17.8,0.7320739893,1.6369672047,732.0739893473,1636.96720474,0.4548895468,1.017163949,2401.8176272101,5370.6274839991,790761600000,17.373783837,62545.6218132504,38863.4170650166,0.3582829267,139.3720550537,53598364.0,33304478.0,100,0,0.109354,5.386,2458000.5,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,447.8370128477652,0.8727046815850249,353.4223941040977,1.418397016947041,2458221.636404156,182.2364315309588,0.803863882779104,False
9,9,2306383,2306383,21.5,0.1332155667,0.2978790628,133.2155666981,297.8790627982,0.0827762899,0.1850934111,437.0589598459,977.2935443908,790761600000,12.8996097219,46438.5949989635,28855.1369869948,0.1518057418,59.0524330139,22709816.0,14111226.0,30,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.7659371965322,1.359211087430526,2457900.7702821824,119.8613823033982,1.201862242530755,True
